partnership_id,parent_id,analyst,new_or_legacy,primary_mission,sub_mission,partnership_year,partnership_type,level_of_commitment,relationship_type,business_model,mission_type,partnership_strength,asset_name,cocom_1,country_1,org_type_1,organization_1,company_1,cocom_2,country_2,org_type_2,organization_2,company_2,link_1,link_2,link_3
CNSA-NASA Mars Data Sharing,CNSA-NASA Mars Data Sharing,GJ,New,Science & Exploration,Interplanetary,2021,Data and Intel Sharing,High,Cooperative,G2G,Civil,8.0,,USINDOPACOM,China,Government,China National Space Administration (CNSA),,USNORTHCOM,United States,Government,National Aeronautics and Space Administration (NASA),,https://www.cnsa.gov.cn/english/n6465668/n6465670/c6811473/content.html,,
CNSA-Roscosmos CAVES Program 2011,CAVES Program 2011,GJ,New,Science & Exploration,Orbital,2011,"Joint Exercises, Tests and Training",High,Cooperative,G2G,Civil,8.0,,USINDOPACOM,China,Government,China National Space Administration (CNSA),,USEUCOM,Russia,Government,Roscosmos,,https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/CAVES_and_Pangaea/What_is_CAVES,,
CNSA-ROSCOSMOS Navigation Contracts 2022,CNSA-ROSCOSMOS Navigation Contracts 2022,GJ,New,SATCOM & PNT,PNT,2022,Transactions,High,Transaction,G2G,Multi-Use,7.0,,USINDOPACOM,China,Government,China National Space Administration (CNSA),,USEUCOM,Russia,Government,Roscosmos,,https://tass.com/science/1557333,,
CNSA-ROSCOSMOS Science Cooperation MOU 2022,CNSA-ROSCOSMOS Science Cooperation MOU 2022,GJ,New,Science & Exploration,Lunar,2022,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USINDOPACOM,China,Government,China National Space Administration (CNSA),,USEUCOM,Russia,Government,Roscosmos,,https://tass.com/science/1557333,,
CNSA-ROSCOSMOS Space Exploration Agreement 2018,ILS - IntelSat - USA Launch Contract 2011,GJ,New,Science & Exploration,Interplanetary,2018,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USINDOPACOM,China,Government,China National Space Administration (CNSA),,USEUCOM,Russia,Government,Roscosmos,,https://www.themoscowtimes.com/2018/06/08/Russia-China-Sign-Space-Exploration-Deal-a61736,,
CNSA-SANSA BRICS Remote Sensing Agreement 2021,ISECG Orginal Membership 2007,JF,New,Space Sensing,ISR & Remote Sensing,2021,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USINDOPACOM,China,Government,China National Space Administration (CNSA),,USAFRICOM,South Africa,Government,South African National Space Agency (SANSA),,http://antigo.inpe.br/institucional/sobre_inpe/relacoes_institucionais/cooperacoes_internacionais_vigentes.php,,
CNSA-SANSA BRICS Remote Sensing Meeting 2023,BRICS Remote Sensing Meeting 2023,JF,New,Space Sensing,Environmental Monitoring,2023,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USINDOPACOM,China,Government,China National Space Administration (CNSA),,USAFRICOM,South Africa,Government,South African National Space Agency (SANSA),,https://www.gov.br/aeb/pt-br/assuntos/noticias/aeb-participa-da-2a-reuniao-do-comite-conjunto-da-constelacao-de-satelites-de-sensoriamento-remoto-do-brics,,
CNSA-SNSB Meeting 2015,CNSA-SNSB Meeting 2015,GJ,New,Not Specified,Not Specified,2015,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USINDOPACOM,China,Government,China National Space Administration (CNSA),,USEUCOM,Sweden,Government,Swedish National Space Board,,https://www.cnsa.gov.cn/english/n6465668/n6465670/c6480584/content.html,,
CNSA-SUPARCO Meeting 2013,CNSA-SUPARCO Meeting 2013,GJ,New,Not Specified,Not Specified,2013,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Multi-Use,6.0,,USINDOPACOM,China,Government,China National Space Administration (CNSA),,USCENTCOM,Pakistan,Government,Pakistan’s Space and Upper Atmosphere Research Commission (SUPARCO),,https://www.cnsa.gov.cn/english/n6465668/n6465670/c6478986/content.html,,
CNSA-UKSA ISECG Original Membership,ISECG Membership,,Legacy,Science & Exploration,Interplanetary,2007,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USINDOPACOM,China,Government,China National Space Administration (CNSA),,USEUCOM,United Kingdom,Government,UK Space Agency (UKSA),,https://www.nasa.gov/humans-in-space/international-space-exploration-coordination-group/; https://www.globalspaceexploration.org/wordpress/wp-content/uploads/2013/10/Global-Exploration-Strategy-framework-for-coordination.pdf,,
Colombia - Ecuador - Space Conference of the Americas 2024,Space Conference of the Americas 2024,FC,New,Science & Exploration,Orbital,2024,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,G2G,Military,4.0,,USSOUTHCOM,Colombia,Government,Government of Colombia,,USSOUTHCOM,Ecuador,Government,Ecuadorian Space Agency (EXA),,https://www.wlrn.org/americas/2024-02-02/global-security-americas-space-command,,
Colombia - Mexico - Space Conference of the Americas 2024,Space Conference of the Americas 2024,FC,New,Science & Exploration,Orbital,2024,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,G2G,Military,4.0,,USSOUTHCOM,Colombia,Government,Government of Colombia,,USNORTHCOM,Mexico,Government,Government of Mexico,,https://www.wlrn.org/americas/2024-02-02/global-security-americas-space-command,,
Colombia - Paraguay - Space Conference of the Americas 2024,Space Conference of the Americas 2024,FC,New,Science & Exploration,Orbital,2024,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,G2G,Military,4.0,,USSOUTHCOM,Colombia,Government,Government of Colombia,,USSOUTHCOM,Paraguay,Government,Paraguayan Space Agency (AEP),,https://www.wlrn.org/americas/2024-02-02/global-security-americas-space-command,,
Colombia - Peru - Space Conference of the Americas 2024,Space Conference of the Americas 2024,FC,New,Science & Exploration,Orbital,2024,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,G2G,Military,4.0,,USSOUTHCOM,Colombia,Government,Government of Colombia,,USSOUTHCOM,Peru,Government,Government of Peru,,https://www.wlrn.org/americas/2024-02-02/global-security-americas-space-command,,
Colombia - Uruguay - Space Conference of the Americas 2024,Space Conference of the Americas 2024,FC,New,Science & Exploration,Orbital,2024,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,G2G,Military,4.0,,USSOUTHCOM,Colombia,Government,Government of Colombia,,USSOUTHCOM,Uruguay,Government,Government of Uruguay,,https://www.wlrn.org/americas/2024-02-02/global-security-americas-space-command,,
Colombia-Costa Rica IILA Space Agency Meeting 2022,Colombia-Costa Rica IILA Space Agency Meeting 2022,,Legacy,Not Specified,Not Specified,2022,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USSOUTHCOM,Colombia,Government,Colombian Space Agency (AEC),,USSOUTHCOM,Costa Rica,Government,Costa Rican Space Agency,,https://mundogeo.com/en/2023/01/31/2nd-iila-meeting-with-space-agencies-from-latin-america-will-take-place-within-the-spacebr-show-2023/,,
Colombia-Costa Rica IILA Space Agency Meeting 2023,IILA Space Agency Meeting 2023,JF,New,Not Specified,Not Specified,2023,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USSOUTHCOM,Colombia,Government,Colombian Space Agency (AEC),,USSOUTHCOM,Costa Rica,Government,Costa Rican Space Agency,,https://mundogeo.com/en/2023/01/31/2nd-iila-meeting-with-space-agencies-from-latin-america-will-take-place-within-the-spacebr-show-2023/,,
Colombia-Ecuador - Lunar Payload 2018,Astrobotic Lunar Payload 2018,FC,New,Science & Exploration,Lunar,2018,Transactions,Low,Transaction,G2G,Civil,4.0,,USSOUTHCOM,Colombia,Government,Colombian Space Agency (AEC),,USSOUTHCOM,Ecuador,Government,Ecuadorian Space Agency (EXA),,https://www.astrobotic.com/astrobotic-announces-joint-ecuadorian-colombian-payload-partnership-to-the-moon/,,
Colombia-Ecuador - Operation HARPY SUR 2023,Operation HARPY SUR 2023,FC,New,SDA & Combat Power,Space Domain Awareness,2023,"Joint Exercises, Tests and Training",High,Cooperative,G2G,Military,9.0,,USSOUTHCOM,Colombia,Government,Colombian Air Force (FAC),,USSOUTHCOM,Ecuador,Government,Ecuadorian Air Force (FAE),,https://www.southcom.mil/MEDIA/NEWS-ARTICLES/Article/3476760/peru-bolsters-international-space-collaboration-with-key-us-partners-during-exe/,,
Colombia-India - Space Development 2022,Colombia-India - Space Development 2022,FC,New,Not Specified,Not Specified,2022,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USSOUTHCOM,Colombia,Government,Government of Colombia,,USINDOPACOM,India,Government,Indian Space Research Organisation (ISRO),,https://www.business-standard.com/article/current-affairs/colombia-seeks-support-from-india-for-harnessing-space-technology-122062900469_1.html,,
Colombia-India MOU 2021,Colombia-India MOU 2021,FC,New,Science & Exploration,Orbital,2021,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,G2G,Civil,3.0,,USSOUTHCOM,Colombia,Government,Government of Colombia,,USINDOPACOM,India,Government,Indian Space Research Organisation (ISRO),,https://www.mea.gov.in/Portal/ForeignRelation/Colombia-Bilateral-Brief.pdf,,
Colombia-Mexico IILA Space Agency Meeting 2022,IILA Space Agency Meeting 2022,,Legacy,Not Specified,Not Specified,2022,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USSOUTHCOM,Colombia,Government,Colombian Space Agency (AEC),,USNORTHCOM,Mexico,Government,Mexican Space Agency (AEM),,https://mundogeo.com/en/2023/01/31/2nd-iila-meeting-with-space-agencies-from-latin-america-will-take-place-within-the-spacebr-show-2023/,,
Colombia-Mexico IILA Space Agency Meeting 2023,IILA Space Agency Meeting 2023,JF,New,Not Specified,Not Specified,2023,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USSOUTHCOM,Colombia,Government,Colombian Space Agency (AEC),,USNORTHCOM,Mexico,Government,Mexican Space Agency (AEM),,https://mundogeo.com/en/2023/01/31/2nd-iila-meeting-with-space-agencies-from-latin-america-will-take-place-within-the-spacebr-show-2023/,,
Colombian Air Force-Analog Astronaut Training Partnership,Colombian Air Force-Analog Astronaut Training Partnership,,,Science & Exploration,Orbital,2022,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2G,Civil,2.0,,USEUCOM,Poland,Industry,,Analog Astronaut Training Center (AATC),USSOUTHCOM,Colombia,Government,Colombian Air Force (FAC),,https://dialogo-americas.com/articles/colombia-bursts-onto-space/#.ZD1xnXbMKUk,,
Colombia-Nicaragua IILA Space Agency Meeting 2022,IILA Space Agency Meeting 2022,,Legacy,Not Specified,Not Specified,2022,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USSOUTHCOM,Colombia,Government,Colombian Space Agency (AEC),,USSOUTHCOM,Nicaragua,Government,Nicaraguan Ministry of Extraterrestrial Space Affairs,,https://mundogeo.com/en/2023/01/31/2nd-iila-meeting-with-space-agencies-from-latin-america-will-take-place-within-the-spacebr-show-2023/,,
Colombia-Nicaragua IILA Space Agency Meeting 2023,IILA Space Agency Meeting 2022,,Legacy,Not Specified,Not Specified,2023,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USSOUTHCOM,Colombia,Government,Colombian Space Agency (AEC),,USSOUTHCOM,Nicaragua,Government,Nicaraguan Ministry of Extraterrestrial Space Affairs,,https://mundogeo.com/en/2023/01/31/2nd-iila-meeting-with-space-agencies-from-latin-america-will-take-place-within-the-spacebr-show-2023/,,
Colombia-Peru IILA Space Agency Meeting 2022,IILA Space Agency Meeting 2022,,Legacy,Not Specified,Not Specified,2022,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USSOUTHCOM,Colombia,Government,Colombian Space Agency (AEC),,USSOUTHCOM,Peru,Government,National Commission for Aerospace R&D (CONIDA),,https://mundogeo.com/en/2023/01/31/2nd-iila-meeting-with-space-agencies-from-latin-america-will-take-place-within-the-spacebr-show-2023/,,
Colombia-Peru IILA Space Agency Meeting 2023,IILA Space Agency Meeting 2022,,Legacy,Not Specified,Not Specified,2023,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USSOUTHCOM,Colombia,Government,Colombian Space Agency (AEC),,USSOUTHCOM,Peru,Government,National Commission for Aerospace R&D (CONIDA),,https://mundogeo.com/en/2023/01/31/2nd-iila-meeting-with-space-agencies-from-latin-america-will-take-place-within-the-spacebr-show-2023/,,
Colombia-UK - Operation HARPY SUR 2023,Operation HARPY SUR 2023,FC,New,SDA & Combat Power,Space Domain Awareness,2023,"Joint Exercises, Tests and Training",High,Cooperative,G2G,Military,9.0,,USSOUTHCOM,Colombia,Government,Colombian Air Force (FAC),,USEUCOM,United Kingdom,Government,Royal Air Force (RAF),,https://www.southcom.mil/MEDIA/NEWS-ARTICLES/Article/3476760/peru-bolsters-international-space-collaboration-with-key-us-partners-during-exe/,,
Colombia-US - Operation HARPY SUR 2023,Operation HARPY SUR 2023,FC,New,SDA & Combat Power,Space Domain Awareness,2023,"Joint Exercises, Tests and Training",High,Cooperative,G2G,Military,9.0,,USSOUTHCOM,Colombia,Government,Colombian Air Force (FAC),,USNORTHCOM,United States,Government,Space Command (SPACECOM),,https://www.southcom.mil/MEDIA/NEWS-ARTICLES/Article/3476760/peru-bolsters-international-space-collaboration-with-key-us-partners-during-exe/,,
Colombia-Venezuela IILA Space Agency Meeting 2022,IILA Space Agency Meeting 2022,,Legacy,Not Specified,Not Specified,2022,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USSOUTHCOM,Colombia,Government,Colombian Space Agency (AEC),,USSOUTHCOM,Venezuela,Government,Bolivarian Agency for Space Activities (ABAE),,https://mundogeo.com/en/2023/01/31/2nd-iila-meeting-with-space-agencies-from-latin-america-will-take-place-within-the-spacebr-show-2023/,,
Colombia-Venezuela IILA Space Agency Meeting 2023,IILA Space Agency Meeting 2022,,Legacy,Not Specified,Not Specified,2023,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USSOUTHCOM,Colombia,Government,Colombian Space Agency (AEC),,USSOUTHCOM,Venezuela,Government,Bolivarian Agency for Space Activities (ABAE),,https://mundogeo.com/en/2023/01/31/2nd-iila-meeting-with-space-agencies-from-latin-america-will-take-place-within-the-spacebr-show-2023/,,
Columbiad Launch Services Inc -UKSA Funding 2023,University of Waterloo -UKSA Funding 2023,DS,Legacy,Assured Access to Space,Launch,2023,Transactions,Low,Transaction,B2G,Multi-Use,4.0,,USEUCOM,United Kingdom,Government,UK Space Agency (UKSA),,USNORTHCOM,Canada,Industry,,Columbiad Launch Services,https://www.gov.uk/government/news/pioneering-worldwide-space-partnerships-to-boost-uk-innovation,,
COMAER-Deimos Imaging Contract,COMAER-Deimos Imaging Contract,,Legacy,Space Sensing,ISR & Remote Sensing,2018,Transactions,High,Transaction,B2G,Military,6.0,,USEUCOM,Spain,Industry,,Deimos Imaging,USSOUTHCOM,Brazil,Government,Brazilian Air Force Command (COMAER),,https://www.satellitetoday.com/government-military/2018/05/17/deimos-imaging-wins-defense-contract-in-brazil/,,
CompTIA-VAST MOU 2021,CompTIA-VAST MOU 2021,,Legacy,Not Specified,Not Specified,2021,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2G,Commercial,2.0,,USNORTHCOM,United States,Industry,,CompTIA,USINDOPACOM,Vietnam,Government,Vietnam Academy of Science & Technology (VAST),,https://www.comptia.org/newsroom/comptia-vietnam-space-group-join-forces-to-promote-and-support-commercial-space-industries-in-both-nations,,
Comtech-KNS Antenna Integration Partnership,Comtech-KNS Antenna Integration Partnership,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2011,Cooperative RDT&E,Low,Cooperative,B2B,Commercial,4.0,,USINDOPACOM,South Korea,Industry,,KNS,USNORTHCOM,United States,Industry,,Comtech,https://www.nbcnews.com/id/wbna43155754,,
"CONAE-AEM Satellite Imaging Platform, 2021","CONAE-AEM Satellite Imaging Platform, 2021",JF,New,Space Sensing,Environmental Monitoring,2021,Data and Intel Sharing,Low,Cooperative,G2G,Civil,6.0,,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USNORTHCOM,Mexico,Government,Mexican Space Agency (AEM),,https://reliefweb.int/report/mexico/mexico-and-argentina-align-satellite-networks-resolve-regional-challenges,,
CONAE-CNSA Space Exploration Agreement 2020,CONAE-CNSA Space Exploration Agreement 2020,JF,New,Science & Exploration,Orbital,2020,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USINDOPACOM,China,Government,China National Space Administration (CNSA),,https://www.bloomberg.com/news/articles/2020-08-07/china-and-argentina-resume-joint-venture-for-space-exploration?sref=nNF6ZpAU,,
CONAE-CNSA Tianwen-1 Tracking,CONAE-CNSA Tianwen-1 Tracking,FC,Legacy,SDA & Combat Power,Space Domain Awareness,2020,Data and Intel Sharing,High,,G2G,Civil,8.0,,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USINDOPACOM,China,Government,China National Space Administration (CNSA),,https://www.space.com/china-mars-mission-tianwen-1-international-partners.html,,
CONAE-CNSO Beidou MoU 2020,CONAE-CNSO Beidou MoU 2020,JF,New,SATCOM & PNT,PNT,2020,"Framework Agreements, Meetings, and Consortia",High,Cooperative,G2G,Civil,5.0,,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USINDOPACOM,china,Government,China Satellite Navigation Office (CSNO),,https://www.tandfonline.com/doi/full/10.1080/24761028.2023.2178271?src=,,
CONAE-CNSO Beidou Tracking Station Agreement,CONAE-CNSO Beidou Tracking Station Agreement,JF,New,SATCOM & PNT,PNT,2022,Infrastructure Access,High,Cooperative,G2G,Civil,7.0,,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USINDOPACOM,China,Government,China Satellite Navigation Office (CSNO),,https://www.tandfonline.com/doi/full/10.1080/24761028.2023.2178271?src=,,
"CONAE-Dept. of State Wildfire Tracking, 2017","Wildfire Tracking, 2017",JF,New,Space Sensing,Environmental Monitoring,2017,Cooperative RDT&E,Low,Cooperative,G2G,Civil,6.0,AQUA,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USNORTHCOM,United States,Government,Department of State (DoS),,https://appliedsciences.nasa.gov/our-impact/news/nasa-and-conae-website-tracks-argentina-wildfires,,
"CONAE-ESA SAOCOM Data Access, 2023","CONAE-ESA SAOCOM Data Access, 2023",,,Space Sensing,Environmental Monitoring,2023,Data and Intel Sharing,Low,Cooperative,G2G,Civil,6.0,SAOCOM,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USEUCOM,European Union,Government,European Space Agency (ESA),,https://www.argentina.gob.ar/noticias/satelites-argentinos-saocom-accesibles-la-comunidad-cientifica-europea,,
"CONAE-ESRI Wildfire Tracking, 2017","Wildfire Tracking, 2017",JF,New,Space Sensing,Environmental Monitoring,2017,Data and Intel Sharing,Low,Cooperative,B2G,Civil,5.0,AQUA,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USNORTHCOM,United States,Industry,,Esri,https://appliedsciences.nasa.gov/our-impact/news/nasa-and-conae-website-tracks-argentina-wildfires,,
"CONAE-European Commission Agreement, 2023","CONAE-European Commission Agreement, 2023",,,Space Sensing,ISR & Remote Sensing,2023,Data and Intel Sharing,High,,G2G,Civil,8.0,Copernicus,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USEUCOM,European Union,Government,European Commission,,https://www.argentina.gob.ar/noticias/la-conae-firmo-un-acuerdo-con-la-comision-europea,,
CONAE-NASA SAC-C Joint Mission,CONAE-NASA SAC-C Joint Mission,JF,New,Space Sensing,ISR & Remote Sensing,1998,Cooperative RDT&E,Low,Cooperative,G2G,Civil,6.0,SAC,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USNORTHCOM,United States,Government,National Aeronautics and Space Administration (NASA),,https://www.eoportal.org/satellite-missions/sac-c#eop-quick-facts-section,,
CONAE-NASA SAC-D Launch,CONAE-NASA SAC-D Launch,JF,New,Assured Access to Space,Launch,2011,Transactions,Low,Transaction,G2G,Civil,4.0,SAC,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USNORTHCOM,United States,Government,National Aeronautics and Space Administration (NASA),,https://www.eoportal.org/satellite-missions/sac-d#sac-d-sat%C3%A9lite-de-aplicaciones-cient%C3%ADficas-daquarius-mission,,
CONAE-NASA SAC-D MoU,CONAE-NASA SAC-D MoU,JF,New,Space Sensing,ISR & Remote Sensing,2004,Co-Production,Low,Cooperative,G2G,Civil,7.0,SAC,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USNORTHCOM,United States,Government,National Aeronautics and Space Administration (NASA),,https://www.eoportal.org/satellite-missions/sac-d#sac-d-sat%C3%A9lite-de-aplicaciones-cient%C3%ADficas-daquarius-mission,,
"CONAE-NASA Wildfire Tracking, 2017","Wildfire Tracking, 2017",JF,New,Space Sensing,Environmental Monitoring,2017,Cooperative RDT&E,Low,Cooperative,G2G,Civil,6.0,AQUA,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USNORTHCOM,United States,Government,National Aeronautics and Space Administration (NASA),,https://appliedsciences.nasa.gov/our-impact/news/nasa-and-conae-website-tracks-argentina-wildfires,,
CONAE-PhilSA Space EO Agreement 2023,CONAE-PhilSA Space EO Agreement 2023,JF,New,Space Sensing,ISR & Remote Sensing,2023,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,G2G,Civil,3.0,,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USINDOPACOM,Philippines,Government,Philippine Space Agency (PhilSA),,https://www.philstar.com/headlines/2023/04/25/2261555/philippines-argentina-sign-agreement-peaceful-use-space-tech,,
CONAE-Roscosmos Cooperation Agreement 2019,CONAE-Roscosmos Cooperation Agreement 2019,JF,New,Not Specified,Not Specified,2019,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,G2G,Civil,3.0,,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USEUCOM,Russia,Government,Roscosmos,,https://tass.com/science/1082101,,
"CONAE-Russian Academy of Sciences Venus, 2022","CONAE-Russian Academy of Sciences Venus, 2022",JF,New,Science & Exploration,Interplanetary,2022,Cooperative RDT&E,High,Cooperative,G2G,Civil,8.0,,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USEUCOM,Russia,Government,Russian Academy of Sciences,,https://spacewatchafrica.com/argentina-russia-successfully-conducted-experiment-on-radar-observations-of-the-planet-venus/,,
"CONAE-VAST Partnership Agreement, 2023","CONAE-VAST Partnership Agreement, 2023",,,Not Specified,Not Specified,2023,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,G2G,Civil,3.0,,USSOUTHCOM,Argentina,Government,Comisión Nacional de Actividades Espaciales (CONAE),,USINDOPACOM,Vietnam,Government,Vietnam Academy of Science & Technology (VAST),,https://www.argentina.gob.ar/noticias/argentina-y-vietnam-celebraron-acuerdos-de-cooperacion-en-ciencia-y-tecnologia-0,,
Concert Technologies-C6 Launch,Concert Technologies-C6 Launch,,,Assured Access to Space,Launch,2022,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,B2B,Commercial,1.0,,USNORTHCOM,Canada,Industry,,C6 Launch,USNORTHCOM,United States,Industry,,Concert Space,https://www.prnewswire.com/news-releases/concert-technologies-to-use-c6-launch-to-launch-its-satellites-301639185.html,,
Congo DRC - HorizonSat Yamal-402 Connectivity  2017,Congo DRC - HorizonSat Yamal-402 Connectivity  2017,DS,New,SATCOM & PNT,SATCOM & Data Transport,2017,Transactions,High,Transaction,B2G,Multi-Use,6.0,Yamal,USAFRICOM,DR Congo,Government,Government of DR Congo,,USCENTCOM,United Arab Emirates,Industry,,HorizonSat,https://www.gazprom-spacesystems.ru/en/news/7735/,,
CONIDA-Airbus - PeruSAT-1 Development 2014,CONIDA-Airbus - PeruSAT-1 Development 2014,FC,New,Science & Exploration,Orbital,2014,Transactions,Low,Transaction,B2G,Military,4.0,PeruSAT-1,USSOUTHCOM,Peru,Government,National Commission for Aerospace R&D (CONIDA),,USEUCOM,Netherlands,Industry,,Airbus,https://www.airbus.com/en/space/earth-observation/earth-observation-portfolio/perusat,https://space.skyrocket.de/doc_sdat/perusat-1.htm,
CONIDA-Arianespace - PeruSAT-1 Launch 2016,CONIDA-Arianespace - PeruSAT-1 Launch 2016,FC,New,Science & Exploration,Orbital,2016,Transactions,Low,Transaction,B2G,Civil,3.0,PeruSAT-1,USSOUTHCOM,Peru,Government,National Commission for Aerospace R&D (CONIDA),,USEUCOM,France,Industry,,ArianeSpace,https://www.nature.com/articles/nature.2016.20610,,
CONIDA-Chile - Operation HARPY SUR 2023,Operation HARPY SUR 2023,FC,New,SDA & Combat Power,Space Domain Awareness,2023,"Joint Exercises, Tests and Training",High,Cooperative,G2G,Military,9.0,,USSOUTHCOM,Peru,Government,National Commission for Aerospace R&D (CONIDA),,USSOUTHCOM,Chile,Government,Chilean Air Force,,https://www.southcom.mil/MEDIA/NEWS-ARTICLES/Article/3476760/peru-bolsters-international-space-collaboration-with-key-us-partners-during-exe/,,
CONIDA-Colombia - Operation HARPY SUR 2023,Operation HARPY SUR 2023,FC,New,SDA & Combat Power,Space Domain Awareness,2023,"Joint Exercises, Tests and Training",High,Cooperative,G2G,Military,9.0,,USSOUTHCOM,Peru,Government,National Commission for Aerospace R&D (CONIDA),,USSOUTHCOM,Colombia,Government,Colombian Space Agency (AEC),,https://www.southcom.mil/MEDIA/NEWS-ARTICLES/Article/3476760/peru-bolsters-international-space-collaboration-with-key-us-partners-during-exe/,,
CONIDA-Ecuador - Operation HARPY SUR 2023,Operation HARPY SUR 2023,FC,New,SDA & Combat Power,Space Domain Awareness,2023,"Joint Exercises, Tests and Training",High,Cooperative,G2G,Military,9.0,,USSOUTHCOM,Peru,Government,National Commission for Aerospace R&D (CONIDA),,USSOUTHCOM,Ecuador,Government,Ecuadorian Air Force (FAE),,https://www.southcom.mil/MEDIA/NEWS-ARTICLES/Article/3476760/peru-bolsters-international-space-collaboration-with-key-us-partners-during-exe/,,
CONIDA-ESA - SARSGW 2016,SARSGW 2016,FC,New,Other,Other,2016,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,G2G,Civil,3.0,,USSOUTHCOM,Peru,Government,National Commission for Aerospace R&D (CONIDA),,USEUCOM,European Union,Government,European Space Agency (ESA),,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-manager-advises-peruvians-at-workshop-collaboration-is-key/,,
CONIDA-NASA - SARSGW 2016,SARSGW 2016,FC,New,Other,Other,2016,"Framework Agreements, Meetings, and Consortia",Low,Cooperative,G2G,Civil,3.0,,USSOUTHCOM,Peru,Government,National Commission for Aerospace R&D (CONIDA),,USNORTHCOM,United States,Government,National Aeronautics and Space Administration (NASA),,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-manager-advises-peruvians-at-workshop-collaboration-is-key/,,
CONIDA-UK - Operation HARPY SUR 2023,Operation HARPY SUR 2023,FC,New,SDA & Combat Power,,2023,"Joint Exercises, Tests and Training",High,Cooperative,G2G,Military,9.0,,USSOUTHCOM,Peru,Government,National Commission for Aerospace R&D (CONIDA),,USEUCOM,United Kingdom,Government,Royal Air Force (RAF),,https://www.southcom.mil/MEDIA/NEWS-ARTICLES/Article/3476760/peru-bolsters-international-space-collaboration-with-key-us-partners-during-exe/,,
